publisher_group,pc_specific_rate,pc_mentions,n_reviews,level,appid,title
bandai_namco,0.0761,30,394,publisher,,
ea,0.1074,16,149,publisher,,
sega_atlus,0.0859,34,396,publisher,,
sie,0.1283,63,491,publisher,,
square_enix,0.1176,64,544,publisher,,
take_two,0.0608,9,148,publisher,,
ubisoft,0.1824,27,148,publisher,,
square_enix,0.02,1,50,title,39210.0,Final Fantasy XIV Online
take_two,0.0816,4,49,title,271590.0,GTA V
take_two,0.0612,3,49,title,397540.0,Borderlands 3
bandai_namco,0.1837,9,49,title,502500.0,Ace Combat 7
square_enix,0.1,5,50,title,524220.0,NieR: Automata
sie,0.0408,2,49,title,553850.0,Helldivers 2
bandai_namco,0.0408,2,49,title,678950.0,Dragon Ball FighterZ
bandai_namco,0.04,2,50,title,740130.0,Tales of Arise
bandai_namco,0.06,3,50,title,860510.0,Little Nightmares II
square_enix,0.08,4,50,title,921570.0,Octopath Traveler
square_enix,0.16,8,50,title,997070.0,Marvel's Avengers
sega_atlus,0.04,2,50,title,1113000.0,Persona 4 Golden
square_enix,0.0833,4,48,title,1113560.0,NieR Replicant
sie,0.0816,4,49,title,1151640.0,Horizon Zero Dawn
ea,0.02,1,50,title,1172470.0,Apex Legends
take_two,0.04,2,50,title,1174180.0,Red Dead Redemption 2
sega_atlus,0.0204,1,49,title,1235140.0,Yakuza: Like a Dragon
sega_atlus,0.12,6,50,title,1237320.0,Sonic Frontiers
bandai_namco,0.0851,4,47,title,1245620.0,Elden Ring
square_enix,0.0612,3,49,title,1295510.0,Dragon Quest XI S
square_enix,0.0408,2,49,title,1462040.0,Final Fantasy VII Remake Intergrade
sie,0.02,1,50,title,1593500.0,God of War (2018)
sega_atlus,0.06,3,50,title,1649080.0,Two Point Campus
sie,0.28,14,50,title,1649240.0,Returnal
bandai_namco,0.08,4,50,title,1672500.0,Gundam Breaker 4
square_enix,0.32,16,50,title,1680880.0,Forspoken
sega_atlus,0.0,0,49,title,1687950.0,Persona 5 Royal
bandai_namco,0.0408,2,49,title,1778820.0,Tekken 8
bandai_namco,0.08,4,50,title,1790600.0,Dragon Ball: Sparking! Zero
sie,0.1,5,50,title,1817070.0,Marvel's Spider-Man Remastered
sie,0.0435,2,46,title,1817190.0,Marvel's Spider-Man: Miles Morales
sie,0.1429,7,49,title,1888930.0,The Last of Us Part I
sie,0.3061,15,49,title,1895880.0,Ratchet & Clank: Rift Apart
square_enix,0.0408,2,49,title,1971650.0,Octopath Traveler II
sega_atlus,0.0833,4,48,title,2022670.0,Sonic Superstars
sega_atlus,0.04,2,50,title,2161700.0,Persona 3 Reload
ea,0.1,5,50,title,2195250.0,EA Sports FC 24
sie,0.04,2,50,title,2322010.0,God of War Ragnarök
sie,0.2245,11,49,title,2420110.0,Horizon Forbidden West
ubisoft,0.2245,11,49,title,2446550.0,Star Wars Outlaws
square_enix,0.26,13,50,title,2515020.0,Final Fantasy XVI
sega_atlus,0.32,16,50,title,2561580.0,Like a Dragon: Infinite Wealth
ea,0.2041,10,49,title,2669320.0,EA Sports FC 25
square_enix,0.1224,6,49,title,2909400.0,Final Fantasy VII Rebirth
ubisoft,0.14,7,50,title,3035570.0,Assassin's Creed Mirage
ubisoft,0.1837,9,49,title,3159330.0,Assassin's Creed Shadows
