title,appid,publisher_group,oc_id,oc_score,oc_pct_recommended,oc_num_reviews
God of War (2018),1593500,sie,5434.0,94.24137931034484,97.57085020242914,255.0
God of War Ragnarök,2322010,sie,12919.0,92.0751879699248,97.03389830508476,244.0
Horizon Zero Dawn,1151640,sie,2862.0,89.29310344827586,94.21965317919076,176.0
Horizon Forbidden West,2420110,sie,12361.0,88.16509433962264,95.74468085106383,196.0
Marvel's Spider-Man Remastered,1817070,sie,6012.0,87.94117647058823,94.82758620689656,180.0
Marvel's Spider-Man: Miles Morales,1817190,sie,10480.0,85.2258064516129,93.62745098039215,211.0
The Last of Us Part I,1888930,sie,13283.0,81.75961538461539,75.88235294117646,178.0
Helldivers 2,553850,sie,93.0,82.48837209302326,77.27272727272727,45.0
Returnal,1649240,sie,11173.0,85.76470588235294,89.11917098445595,201.0
Ratchet & Clank: Rift Apart,1895880,sie,10994.0,88.29464285714286,93.33333333333331,201.0
Elden Ring,1245620,bandai_namco,12090.0,95.09756097560977,97.53694581280789,213.0
Tekken 8,1778820,bandai_namco,15734.0,90.02906976744185,98.79518072289156,169.0
Dragon Ball FighterZ,678950,bandai_namco,5273.0,85.69072164948453,94.11764705882352,142.0
Dragon Ball: Sparking! Zero,1790600,bandai_namco,17414.0,81.81818181818181,85.71428571428571,126.0
Ace Combat 7,502500,bandai_namco,7116.0,80.78571428571429,79.36507936507937,129.0
Tales of Arise,740130,bandai_namco,11930.0,87.21875,99.3006993006993,144.0
Gundam Breaker 4,1672500,bandai_namco,17204.0,75.5909090909091,53.84615384615385,39.0
Little Nightmares II,860510,bandai_namco,10644.0,82.50892857142857,87.6470588235294,173.0
Like a Dragon: Infinite Wealth,2561580,sega_atlus,15906.0,89.67391304347827,97.48427672955977,161.0
Yakuza: Like a Dragon,1235140,sega_atlus,8628.0,85.81,90.72847682119205,155.0
Persona 3 Reload,2161700,sega_atlus,16094.0,87.37640449438203,94.01197604790418,169.0
Persona 4 Golden,1113000,sega_atlus,9636.0,88.11764705882354,95.23809523809524,89.0
Persona 5 Royal,1687950,sega_atlus,8785.0,94.0576923076923,97.59036144578312,168.0
Sonic Frontiers,1237320,sega_atlus,13687.0,70.95833333333333,55.639097744360896,137.0
Sonic Superstars,2022670,sega_atlus,15199.0,72.74545454545455,60.41666666666666,97.0
Two Point Campus,1649080,sega_atlus,12707.0,83.39682539682539,89.0,101.0
Final Fantasy VII Remake Intergrade,1462040,square_enix,8586.0,88.23076923076923,95.02762430939227,186.0
Final Fantasy XVI,2515020,square_enix,14516.0,87.21363636363637,91.41414141414141,205.0
Final Fantasy XIV Online,39210,square_enix,271.0,86.30555555555556,91.8918918918919,37.0
Final Fantasy VII Rebirth,2909400,square_enix,15136.0,91.91176470588235,96.72131147540983,189.0
Dragon Quest XI S,1295510,square_enix,3369.0,83.37234042553192,88.23529411764706,122.0
Octopath Traveler,921570,square_enix,6231.0,84.10975609756098,85.47008547008546,122.0
Octopath Traveler II,1971650,square_enix,13900.0,85.09859154929578,94.87179487179486,119.0
NieR: Automata,524220,square_enix,3540.0,89.36206896551724,92.76315789473685,157.0
NieR Replicant,1113560,square_enix,11154.0,82.83529411764705,85.07462686567165,136.0
Forspoken,1680880,square_enix,13945.0,66.38823529411765,30.344827586206897,150.0
Marvel's Avengers,997070,square_enix,9138.0,67.85344827586206,39.226519337016576,188.0
EA Sports FC 24,2195250,ea,15502.0,74.06153846153846,57.446808510638306,95.0
EA Sports FC 25,2669320,ea,17121.0,76.10909090909091,62.92134831460674,91.0
Apex Legends,1172470,ea,7267.0,80.59322033898304,74.07407407407408,85.0
GTA V,271590,take_two,12470.0,78.4,62.5,17.0
Red Dead Redemption 2,1174180,take_two,3717.0,95.41614906832298,92.9245283018868,219.0
Borderlands 3,397540,take_two,7656.0,80.48514851485149,77.6978417266187,143.0
Assassin's Creed Mirage,3035570,ubisoft,15005.0,76.18627450980392,73.40425531914893,193.0
Assassin's Creed Shadows,3159330,ubisoft,16792.0,80.96666666666667,81.3953488372093,220.0
Star Wars Outlaws,2446550,ubisoft,16790.0,74.82105263157895,68.42105263157895,195.0
